query_id,query_text,risk_category,intent_category,funnel_stage,length_category
364,find credit score near me,YMYL,Transactional,BOFU (Decision),Long-tail
365,nih cpr steps study,YMYL,Navigational,MOFU (Consideration),Long-tail
366,guide to first aid basics,YMYL,Informational,TOFU (Awareness),Long-tail
367,diabetes vs migraine,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
368,order cybersecurity breach now,YMYL,Transactional,BOFU (Decision),Long-tail
369,fema bankruptcy resources,YMYL,Navigational,MOFU (Consideration),Mid-tail
370,treatment options for fire evacuation plan,YMYL,Informational,TOFU (Awareness),Long-tail
371,irs diabetes,YMYL,Navigational,MOFU (Consideration),Head
372,how does asthma work,YMYL,Informational,TOFU (Awareness),Long-tail
373,best eviction providers,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
374,find gun control legislation near me,YMYL,Transactional,BOFU (Decision),Long-tail
375,uscis asthma application,YMYL,Navigational,MOFU (Consideration),Mid-tail
376,symptoms of earthquake preparedness,YMYL,Informational,TOFU (Awareness),Long-tail
377,is student loan forgiveness worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
378,social security bitcoin investment,YMYL,Navigational,MOFU (Consideration),Long-tail
379,treatment options for anxiety,YMYL,Informational,TOFU (Awareness),Long-tail
380,depression vs migraine,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
381,buy electric vehicle incentives online,YMYL,Transactional,BOFU (Decision),Long-tail
382,cdc student loan forgiveness guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
383,symptoms of credit score,YMYL,Informational,TOFU (Awareness),Long-tail
384,best dui laws providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
385,order index fund now,YMYL,Transactional,BOFU (Decision),Long-tail
386,risks of arthritis,YMYL,Informational,TOFU (Awareness),Mid-tail
387,affordable food poisoning treatment solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
388,benefits of hypertension,YMYL,Informational,TOFU (Awareness),Mid-tail
389,top climate change policy services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
390,order bankruptcy now,YMYL,Transactional,BOFU (Decision),Mid-tail
391,ama cpr steps recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
392,risks of identity theft protection,YMYL,Informational,TOFU (Awareness),Long-tail
393,is minimum wage increase worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
394,nih tax reform bill study,YMYL,Navigational,MOFU (Consideration),Long-tail
395,guide to breast cancer,YMYL,Informational,TOFU (Awareness),Long-tail
396,best climate change policy providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
397,schedule credit score consultation,YMYL,Transactional,BOFU (Decision),Long-tail
398,nih credit score study,YMYL,Navigational,MOFU (Consideration),Long-tail
399,what is immigration,YMYL,Informational,TOFU (Awareness),Mid-tail
400,food poisoning treatment reviews,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
401,schedule mortgage consultation,YMYL,Transactional,BOFU (Decision),Mid-tail
402,uscis gun control legislation application,YMYL,Navigational,MOFU (Consideration),Long-tail
403,what is asthma,YMYL,Informational,TOFU (Awareness),Mid-tail
404,affordable earthquake preparedness solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
405,order anxiety now,YMYL,Transactional,BOFU (Decision),Mid-tail
406,guide to immigration,YMYL,Informational,TOFU (Awareness),Mid-tail
407,find tax reform bill near me,YMYL,Transactional,BOFU (Decision),Long-tail
408,minimum wage increase cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
409,schedule dui laws consultation,YMYL,Transactional,BOFU (Decision),Long-tail
410,irs eviction,YMYL,Navigational,MOFU (Consideration),Head
411,risks of minimum wage increase,YMYL,Informational,TOFU (Awareness),Long-tail
412,dui laws reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
413,get 401k quote,YMYL,Transactional,BOFU (Decision),Mid-tail
414,who last will factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
415,how does healthcare reform work,YMYL,Informational,TOFU (Awareness),Long-tail
416,affordable bitcoin investment solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
417,download electric vehicle incentives form,YMYL,Transactional,BOFU (Decision),Long-tail
418,affordable migraine solutions,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
419,buy trademark registration online,YMYL,Transactional,BOFU (Decision),Long-tail
420,irs patent filing,YMYL,Navigational,MOFU (Consideration),Mid-tail
421,can bankruptcy be cured,YMYL,Informational,TOFU (Awareness),Long-tail
422,apply for immigration,YMYL,Transactional,BOFU (Decision),Mid-tail
423,fema electric vehicle incentives resources,YMYL,Navigational,MOFU (Consideration),Long-tail
424,what is cpr steps,YMYL,Informational,TOFU (Awareness),Long-tail
425,cpr steps vs child car seat guidelines,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
426,irs migraine,YMYL,Navigational,MOFU (Consideration),Head
427,benefits of immigration,YMYL,Informational,TOFU (Awareness),Mid-tail
428,affordable breast cancer solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
429,get first aid basics quote,YMYL,Transactional,BOFU (Decision),Long-tail
430,nih dui laws study,YMYL,Navigational,MOFU (Consideration),Long-tail
431,treatment options for food poisoning treatment,YMYL,Informational,TOFU (Awareness),Long-tail
432,apply for anxiety,YMYL,Transactional,BOFU (Decision),Mid-tail
433,nih net neutrality rules study,YMYL,Navigational,MOFU (Consideration),Long-tail
434,benefits of child custody,YMYL,Informational,TOFU (Awareness),Long-tail
435,immigration reviews,YMYL,Commercial Investigation,MOFU (Consideration),Head
436,order trademark registration now,YMYL,Transactional,BOFU (Decision),Long-tail
437,irs estate planning,YMYL,Navigational,MOFU (Consideration),Mid-tail
438,guide to patent filing,YMYL,Informational,TOFU (Awareness),Long-tail
439,top eviction services,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
440,nih anxiety study,YMYL,Navigational,MOFU (Consideration),Mid-tail
441,treatment options for life insurance,YMYL,Informational,TOFU (Awareness),Long-tail
442,cybersecurity breach vs hurricane safety,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
443,401k pricing,YMYL,Transactional,BOFU (Decision),Head
444,net neutrality rules reviews,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
445,get index fund quote,YMYL,Transactional,BOFU (Decision),Long-tail
446,can last will be cured,YMYL,Informational,TOFU (Awareness),Long-tail
447,affordable student loan forgiveness solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
448,can child custody be cured,YMYL,Informational,TOFU (Awareness),Long-tail
449,order gun control legislation now,YMYL,Transactional,BOFU (Decision),Long-tail
450,who life insurance factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
451,top patent filing services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
452,nih hypertension study,YMYL,Navigational,MOFU (Consideration),Mid-tail
453,fire evacuation plan vs first aid basics,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
454,order divorce now,YMYL,Transactional,BOFU (Decision),Mid-tail
455,best last will providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
456,find immigration near me,YMYL,Transactional,BOFU (Decision),Long-tail
457,cdc index fund guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
458,benefits of bankruptcy,YMYL,Informational,TOFU (Awareness),Mid-tail
459,best carbon monoxide leak response providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
460,heart attack pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
461,fema index fund resources,YMYL,Navigational,MOFU (Consideration),Long-tail
462,risks of depression,YMYL,Informational,TOFU (Awareness),Mid-tail
463,best immigration providers,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
464,ama diabetes recommendations,YMYL,Navigational,MOFU (Consideration),Mid-tail
465,what is gun control legislation,YMYL,Informational,TOFU (Awareness),Long-tail
466,electric vehicle incentives vs healthcare reform,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
467,buy personal injury claim online,YMYL,Transactional,BOFU (Decision),Long-tail
468,benefits of net neutrality rules,YMYL,Informational,TOFU (Awareness),Long-tail
469,is arthritis worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
470,buy arthritis online,YMYL,Transactional,BOFU (Decision),Mid-tail
471,cdc carbon monoxide leak response guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
472,top anxiety services,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
473,apply for index fund,YMYL,Transactional,BOFU (Decision),Long-tail
474,nih earthquake preparedness study,YMYL,Navigational,MOFU (Consideration),Long-tail
475,risks of roth ira,YMYL,Informational,TOFU (Awareness),Long-tail
476,compare anxiety options,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
477,download net neutrality rules form,YMYL,Transactional,BOFU (Decision),Long-tail
478,social security divorce,YMYL,Navigational,MOFU (Consideration),Mid-tail
479,top trademark registration services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
480,order personal injury claim now,YMYL,Transactional,BOFU (Decision),Long-tail
481,apply for asthma,YMYL,Transactional,BOFU (Decision),Mid-tail
482,who cpr steps factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
483,treatment options for student loan forgiveness,YMYL,Informational,TOFU (Awareness),Long-tail
484,is diabetes worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
485,download trademark registration form,YMYL,Transactional,BOFU (Decision),Long-tail
486,who net neutrality rules factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
487,can child car seat guidelines be cured,YMYL,Informational,TOFU (Awareness),Long-tail
488,apply for divorce,YMYL,Transactional,BOFU (Decision),Mid-tail
489,who child car seat guidelines factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
490,can hypertension be cured,YMYL,Informational,TOFU (Awareness),Long-tail
491,top hypertension services,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
492,find student loan near me,YMYL,Transactional,BOFU (Decision),Long-tail
493,cdc cpr steps guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
494,affordable dui laws solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
495,get covid 19 quote,YMYL,Transactional,BOFU (Decision),Long-tail
496,fema data privacy law resources,YMYL,Navigational,MOFU (Consideration),Long-tail
497,heart attack reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
498,order first aid basics now,YMYL,Transactional,BOFU (Decision),Long-tail
499,nih minimum wage increase study,YMYL,Navigational,MOFU (Consideration),Long-tail
500,who migraine factsheet,YMYL,Navigational,MOFU (Consideration),Mid-tail
501,compare immigration options,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
502,get eviction quote,YMYL,Transactional,BOFU (Decision),Mid-tail
503,social security patent filing,YMYL,Navigational,MOFU (Consideration),Long-tail
504,best bitcoin investment providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
505,find patent filing near me,YMYL,Transactional,BOFU (Decision),Long-tail
506,who first aid basics factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
507,order net neutrality rules now,YMYL,Transactional,BOFU (Decision),Long-tail
508,who minimum wage increase factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
509,can immigration be cured,YMYL,Informational,TOFU (Awareness),Long-tail
510,get tax deduction quote,YMYL,Transactional,BOFU (Decision),Long-tail
511,eviction reviews,YMYL,Commercial Investigation,MOFU (Consideration),Head
512,find last will near me,YMYL,Transactional,BOFU (Decision),Long-tail
513,irs student loan forgiveness,YMYL,Navigational,MOFU (Consideration),Long-tail
514,get healthcare reform quote,YMYL,Transactional,BOFU (Decision),Long-tail
515,what is climate change policy,YMYL,Informational,TOFU (Awareness),Long-tail
516,compare heart attack options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
517,order estate planning now,YMYL,Transactional,BOFU (Decision),Long-tail
518,ama climate change policy recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
519,symptoms of student loan forgiveness,YMYL,Informational,TOFU (Awareness),Long-tail
520,cybersecurity breach cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
521,can carbon monoxide leak response be cured,YMYL,Informational,TOFU (Awareness),Long-tail
522,student loan reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
523,find dui laws near me,YMYL,Transactional,BOFU (Decision),Long-tail
524,uscis hurricane safety application,YMYL,Navigational,MOFU (Consideration),Long-tail
525,how does gun control legislation work,YMYL,Informational,TOFU (Awareness),Long-tail
526,affordable last will solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
527,download depression form,YMYL,Transactional,BOFU (Decision),Mid-tail
528,irs index fund,YMYL,Navigational,MOFU (Consideration),Mid-tail
529,net neutrality rules vs healthcare reform,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
530,find child custody near me,YMYL,Transactional,BOFU (Decision),Long-tail
531,ama index fund recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
532,can tax reform bill be cured,YMYL,Informational,TOFU (Awareness),Long-tail
533,best bankruptcy providers,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
534,download asthma form,YMYL,Transactional,BOFU (Decision),Mid-tail
535,uscis life insurance application,YMYL,Navigational,MOFU (Consideration),Long-tail
536,affordable cpr steps solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
537,buy patent filing online,YMYL,Transactional,BOFU (Decision),Long-tail
538,guide to dui laws,YMYL,Informational,TOFU (Awareness),Long-tail
539,nih patent filing study,YMYL,Navigational,MOFU (Consideration),Long-tail
540,can asthma be cured,YMYL,Informational,TOFU (Awareness),Long-tail
541,top student loan forgiveness services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
542,order 401k now,YMYL,Transactional,BOFU (Decision),Mid-tail
543,guide to life insurance,YMYL,Informational,TOFU (Awareness),Long-tail
544,find hypertension near me,YMYL,Transactional,BOFU (Decision),Long-tail
545,ama first aid basics recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
546,benefits of estate planning,YMYL,Informational,TOFU (Awareness),Long-tail
547,is child custody worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
548,mortgage pricing,YMYL,Transactional,BOFU (Decision),Head
549,ama data privacy law recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
550,can student loan forgiveness be cured,YMYL,Informational,TOFU (Awareness),Long-tail
551,is anxiety worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
552,ama covid 19 recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
553,risks of child custody,YMYL,Informational,TOFU (Awareness),Long-tail
554,affordable covid 19 solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
555,cdc life insurance guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
556,is migraine worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
557,order hurricane safety now,YMYL,Transactional,BOFU (Decision),Long-tail
558,ama mortgage recommendations,YMYL,Navigational,MOFU (Consideration),Mid-tail
559,risks of hypertension,YMYL,Informational,TOFU (Awareness),Mid-tail
560,affordable data privacy law solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
561,uscis bitcoin investment application,YMYL,Navigational,MOFU (Consideration),Long-tail
562,symptoms of data privacy law,YMYL,Informational,TOFU (Awareness),Long-tail
563,tax reform bill vs vaccination mandate,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
564,patent filing pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
565,treatment options for bitcoin investment,YMYL,Informational,TOFU (Awareness),Long-tail
566,order immigration now,YMYL,Transactional,BOFU (Decision),Mid-tail
567,symptoms of divorce,YMYL,Informational,TOFU (Awareness),Mid-tail
568,affordable anxiety solutions,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
569,schedule bankruptcy consultation,YMYL,Transactional,BOFU (Decision),Mid-tail
570,nih tax deduction study,YMYL,Navigational,MOFU (Consideration),Long-tail
571,benefits of student loan forgiveness,YMYL,Informational,TOFU (Awareness),Long-tail
572,covid 19 vs breast cancer,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
573,best hypertension providers,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
574,order healthcare reform now,YMYL,Transactional,BOFU (Decision),Long-tail
575,social security carbon monoxide leak response,YMYL,Navigational,MOFU (Consideration),Long-tail
576,order hypertension now,YMYL,Transactional,BOFU (Decision),Mid-tail
577,fema roth ira resources,YMYL,Navigational,MOFU (Consideration),Long-tail
578,symptoms of hurricane safety,YMYL,Informational,TOFU (Awareness),Long-tail
579,ama trademark registration recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
580,can gun control legislation be cured,YMYL,Informational,TOFU (Awareness),Long-tail
581,affordable tax deduction solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
582,what is eviction,YMYL,Informational,TOFU (Awareness),Mid-tail
583,trademark registration vs eviction,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
584,irs data privacy law,YMYL,Navigational,MOFU (Consideration),Long-tail
585,benefits of fire evacuation plan,YMYL,Informational,TOFU (Awareness),Long-tail
586,roth ira pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
587,ama cybersecurity breach recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
588,best electric vehicle incentives providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
589,affordable first aid basics solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
590,schedule vaccination mandate consultation,YMYL,Transactional,BOFU (Decision),Long-tail
591,ama minimum wage increase recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
592,how does data privacy law work,YMYL,Informational,TOFU (Awareness),Long-tail
593,best minimum wage increase providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
594,schedule gun control legislation consultation,YMYL,Transactional,BOFU (Decision),Long-tail
595,who gun control legislation factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
596,can student loan be cured,YMYL,Informational,TOFU (Awareness),Long-tail
597,download arthritis form,YMYL,Transactional,BOFU (Decision),Mid-tail
598,affordable climate change policy solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
599,what is minimum wage increase,YMYL,Informational,TOFU (Awareness),Long-tail
600,top child car seat guidelines services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
601,apply for climate change policy,YMYL,Transactional,BOFU (Decision),Long-tail
602,benefits of hurricane safety,YMYL,Informational,TOFU (Awareness),Long-tail
603,child car seat guidelines cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
604,who arthritis factsheet,YMYL,Navigational,MOFU (Consideration),Mid-tail
605,buy roth ira online,YMYL,Transactional,BOFU (Decision),Long-tail
606,risks of net neutrality rules,YMYL,Informational,TOFU (Awareness),Long-tail
607,fema heart attack resources,YMYL,Navigational,MOFU (Consideration),Long-tail
608,risks of climate change policy,YMYL,Informational,TOFU (Awareness),Long-tail
609,top 401k services,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
610,download climate change policy form,YMYL,Transactional,BOFU (Decision),Long-tail
611,social security climate change policy,YMYL,Navigational,MOFU (Consideration),Long-tail
612,tax deduction vs roth ira,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
613,tax deduction pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
614,cdc trademark registration guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
615,benefits of electric vehicle incentives,YMYL,Informational,TOFU (Awareness),Long-tail
616,affordable hurricane safety solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
617,cdc bitcoin investment guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
618,guide to net neutrality rules,YMYL,Informational,TOFU (Awareness),Long-tail
619,gun control legislation reviews,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
620,irs student loan,YMYL,Navigational,MOFU (Consideration),Mid-tail
621,how does child car seat guidelines work,YMYL,Informational,TOFU (Awareness),Long-tail
622,social security breast cancer,YMYL,Navigational,MOFU (Consideration),Long-tail
623,treatment options for cybersecurity breach,YMYL,Informational,TOFU (Awareness),Long-tail
624,divorce vs trademark registration,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
625,schedule migraine consultation,YMYL,Transactional,BOFU (Decision),Mid-tail
626,fema vaccination mandate resources,YMYL,Navigational,MOFU (Consideration),Long-tail
627,treatment options for tax deduction,YMYL,Informational,TOFU (Awareness),Long-tail
628,ama dui laws recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
629,is last will worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
630,who vaccination mandate factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
631,eviction vs personal injury claim,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
632,uscis first aid basics application,YMYL,Navigational,MOFU (Consideration),Long-tail
633,is hurricane safety worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
634,download index fund form,YMYL,Transactional,BOFU (Decision),Long-tail
635,cdc tax deduction guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
636,how does climate change policy work,YMYL,Informational,TOFU (Awareness),Long-tail
637,social security roth ira,YMYL,Navigational,MOFU (Consideration),Long-tail
638,treatment options for tax reform bill,YMYL,Informational,TOFU (Awareness),Long-tail
639,buy earthquake preparedness online,YMYL,Transactional,BOFU (Decision),Long-tail
640,fema gun control legislation resources,YMYL,Navigational,MOFU (Consideration),Long-tail
641,get net neutrality rules quote,YMYL,Transactional,BOFU (Decision),Long-tail
642,who diabetes factsheet,YMYL,Navigational,MOFU (Consideration),Mid-tail
643,trademark registration cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
644,social security cpr steps,YMYL,Navigational,MOFU (Consideration),Long-tail
645,diabetes cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
646,download food poisoning treatment form,YMYL,Transactional,BOFU (Decision),Long-tail
647,who heart attack factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
648,guide to migraine,YMYL,Informational,TOFU (Awareness),Mid-tail
649,top child custody services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
650,ama estate planning recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
651,how does divorce work,YMYL,Informational,TOFU (Awareness),Long-tail
652,best patent filing providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
653,buy student loan online,YMYL,Transactional,BOFU (Decision),Long-tail
654,who estate planning factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
655,symptoms of fire evacuation plan,YMYL,Informational,TOFU (Awareness),Long-tail
656,estate planning vs mortgage,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
657,order data privacy law now,YMYL,Transactional,BOFU (Decision),Long-tail
658,uscis 401k application,YMYL,Navigational,MOFU (Consideration),Mid-tail
659,guide to diabetes,YMYL,Informational,TOFU (Awareness),Mid-tail
660,is 401k worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
661,order electric vehicle incentives now,YMYL,Transactional,BOFU (Decision),Long-tail
662,nih divorce study,YMYL,Navigational,MOFU (Consideration),Mid-tail
663,risks of carbon monoxide leak response,YMYL,Informational,TOFU (Awareness),Long-tail
664,nih covid 19 study,YMYL,Navigational,MOFU (Consideration),Long-tail
665,how does 401k work,YMYL,Informational,TOFU (Awareness),Long-tail
666,eviction cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
667,irs immigration,YMYL,Navigational,MOFU (Consideration),Head
668,fema carbon monoxide leak response resources,YMYL,Navigational,MOFU (Consideration),Long-tail
669,how does heart attack work,YMYL,Informational,TOFU (Awareness),Long-tail
670,find electric vehicle incentives near me,YMYL,Transactional,BOFU (Decision),Long-tail
671,how does food poisoning treatment work,YMYL,Informational,TOFU (Awareness),Long-tail
672,vaccination mandate reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
673,get hurricane safety quote,YMYL,Transactional,BOFU (Decision),Long-tail
674,nih trademark registration study,YMYL,Navigational,MOFU (Consideration),Long-tail
675,how does hurricane safety work,YMYL,Informational,TOFU (Awareness),Long-tail
676,compare mortgage options,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
677,risks of bitcoin investment,YMYL,Informational,TOFU (Awareness),Long-tail
678,fema child custody resources,YMYL,Navigational,MOFU (Consideration),Long-tail
679,treatment options for bankruptcy,YMYL,Informational,TOFU (Awareness),Long-tail
680,cpr steps reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
681,social security immigration,YMYL,Navigational,MOFU (Consideration),Mid-tail
682,benefits of gun control legislation,YMYL,Informational,TOFU (Awareness),Long-tail
683,bitcoin investment pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
684,risks of credit score,YMYL,Informational,TOFU (Awareness),Long-tail
685,download fire evacuation plan form,YMYL,Transactional,BOFU (Decision),Long-tail
686,fema tax reform bill resources,YMYL,Navigational,MOFU (Consideration),Long-tail
687,guide to gun control legislation,YMYL,Informational,TOFU (Awareness),Long-tail
688,what is estate planning,YMYL,Informational,TOFU (Awareness),Long-tail
689,is net neutrality rules worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
690,social security depression,YMYL,Navigational,MOFU (Consideration),Mid-tail
691,risks of gun control legislation,YMYL,Informational,TOFU (Awareness),Long-tail
692,get cpr steps quote,YMYL,Transactional,BOFU (Decision),Long-tail
693,ama divorce recommendations,YMYL,Navigational,MOFU (Consideration),Mid-tail
694,diabetes reviews,YMYL,Commercial Investigation,MOFU (Consideration),Head
695,find trademark registration near me,YMYL,Transactional,BOFU (Decision),Long-tail
696,how does bankruptcy work,YMYL,Informational,TOFU (Awareness),Long-tail
697,buy depression online,YMYL,Transactional,BOFU (Decision),Mid-tail
698,healthcare reform reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
699,fema cybersecurity breach resources,YMYL,Navigational,MOFU (Consideration),Long-tail
700,earthquake preparedness vs first aid basics,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
701,how does immigration work,YMYL,Informational,TOFU (Awareness),Long-tail
702,is healthcare reform worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
703,download last will form,YMYL,Transactional,BOFU (Decision),Long-tail
704,ama depression recommendations,YMYL,Navigational,MOFU (Consideration),Mid-tail
705,guide to data privacy law,YMYL,Informational,TOFU (Awareness),Long-tail
706,download dui laws form,YMYL,Transactional,BOFU (Decision),Long-tail
707,nih healthcare reform study,YMYL,Navigational,MOFU (Consideration),Long-tail
708,how does electric vehicle incentives work,YMYL,Informational,TOFU (Awareness),Long-tail
709,top student loan services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
710,apply for credit score,YMYL,Transactional,BOFU (Decision),Long-tail
711,who student loan factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
712,healthcare reform cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
713,benefits of identity theft protection,YMYL,Informational,TOFU (Awareness),Long-tail
714,affordable student loan solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
715,can mortgage be cured,YMYL,Informational,TOFU (Awareness),Long-tail
716,carbon monoxide leak response cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
717,get carbon monoxide leak response quote,YMYL,Transactional,BOFU (Decision),Long-tail
718,cdc covid 19 guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
719,compare last will options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
720,download bitcoin investment form,YMYL,Transactional,BOFU (Decision),Long-tail
721,symptoms of minimum wage increase,YMYL,Informational,TOFU (Awareness),Long-tail
722,best data privacy law providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
723,schedule first aid basics consultation,YMYL,Transactional,BOFU (Decision),Long-tail
724,social security fire evacuation plan,YMYL,Navigational,MOFU (Consideration),Long-tail
725,top dui laws services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
