query_id,query_text,triggered_ai_overview
2603369,what does a taurus act like,b
293838,does the generic form of ambien cause headaches,b
6607133,how to calm someone with schizophrenia,y
7210301,what does millage mean,n
7215935,what modern african management thought,b
4156925,why is the moon white,y
473433,how to insert a comma in excel text,b
3543295,how to make edge work as internet explorer,y
4155954,why do jamaicans eat bun and cheese at easter,b
4149394,when was chesa boudin elected,b
7211290,what injustices have the armenians suffered in their history,b
1074308,what is kava kava tea,b
3543823,how to move on from your baby momma,y
4142998,what is delta 8,y
3362446,does the mit cross have positive traction,b
6611847,how to make a game like pokemon in roblox,n
2002284,how to become azure certified,y
8742679,what causes clutch failure,b
3541477,how to get haunted pumpkin blooket,b
2011829,how to view court documents online,b
4143282,what is gmwb,y
2009998,how to search hole laptop for videos mac,b
1074369,what is live search,b
1071080,what does happiness means,n
2605999,what is boosting a discord server,y
5072234,how the globalization of politics affect the us during the pandemic,b
8749837,what season is it usa,b
4156103,why do we need foreign exchange,b
6615664,how to trst output transisters in a peavey cs800,b
2005106,how to find crappie with a depth finder,b
7215578,what is tts syndrome,y
5069263,how long do hives rashes last,y
6603453,how long does natera test results take,y
4145289,what is the meaning of kayden,b
8138585,how long for phentermine to kick in,b
8151591,how to wear white sneakers,b
8136669,how do i find my irs pin,n
6615291,how to switch to frame in selenium,n
1077165,what should my edpi be,y
475399,how to play the panzer iv h in wot,b
6613716,how to rehome my dog,b
5076442,how to get colleges to mail you stuff,y
4138993,what are thought disorders,y
471581,how to dry out hot peppers,y
1086294,why cant i launch fifa 22,b
3542587,how to keep morel mushrooms fresh longer,b
8752556,when should you charge laptop,y
469996,how to check the graphic card in windows 11,y
4144352,what is rtp in sap mm,b
8752863,when was thw rock house built in twin pines ca,b
475500,how to prevent cramp,y
2608751,what is the replacement for stihl ignition coil 4137 1304 438,b
7216121,what power supply do i need,y
8145850,how to get supure kai of time in xenoverse,b
6616504,how to write a personal summary,b
4147063,what to make with shrimp for dinner,n
2610623,what was the egyptians religion,y
8760562,why isn't my valorant updating,y
6614789,how to sex baby bunnies,y
8136047,how can an amendment be added to constitution,y
1086270,why can't i poop,y
7215966,what name is given to infections that occur in a hospital,b
5674160,what bfb character are you,b
6607089,how to calculate the dew point,y
5079439,how to pronounce almond correctly,n
5076101,how to fix a wall socket,n
1997419,how do you control quality,b
2604553,what happened to taylor momsen,b
5078492,how to make nandos spicy rice at home,n
6607987,how to consolidate text excel,y
8137151,how do you know if you like someone quiz,n
4155987,why do my hips ache when i walk,y
6602877,how is an a frame house insulated,b
8744241,what does the cdc consider to be immunocompromised,b
474545,how to make nether wart,y
7211508,what is a covid cough sound like,n
1082128,which browsers have flash,y
5074154,how to communicate with deaf people,y
4139609,what degrees do you need to be a marine biologist,y
5076705,how to get pvp titles in tbc classic,b
2002635,how to calculate rsi indicator,y
6605866,how old was anakin when he became a knight,y
8144656,how to fasten cabinets together,y
293417,does golo work,b
8742046,what are some domestic policies,y
7213485,what is made of iron around the house,y
6608423,how to create fellowship among believers,b
1069478,what are sonia sotomayor's achievements,b
2615598,which of the following senses is mediated by mechanoreceptors,n
8145707,how to get rid of a callus on toe,y
5678055,what is disk compression,y
8138035,how is power metered at large buildings,b
6616450,how to work out holiday for part time staff,b
478602,how to wet the bed,n
3533374,how does amoxicillin work?,b
4143675,what is macos base system,y
8744003,what does mono% mean,y
2006932,how to install scoop windows 11,n
4155932,why do i have to break in a composite bat,b
6615388,how to teach verbs to kids,b
7226233,why does our voice sound different on tape,y
2004137,how to deal with colic baby,y
472398,how to get a knockback 1000 stick in minecraft java,b
3545433,how to run python file in linux terminal,b
2603865,what does nofollow link mean,y
5073088,how to build a tesla charging station,y
8744458,what field must be completed first before the assignment can be created?,y
467854,how often answer options,n
8744867,what happens with the expired learners licenses in south africa,b
6606993,how to calculate ac power,y
1086858,why does a coin appear raised in water,b
2001926,how to add your resume on linkedin,n
7213335,what is intracytoplasmic sperm injection,y
2003053,how to change winpty python in a script to run in atom,b
2602619,what causes metabolic alkalosis in neonates,b
8138004,how is it coming along 意味,n
4157122,why should i put my cash in a bank,b
8142925,how to clean sticky juice from furniture,b
4145668,what is the torah?,y
6609203,how to dress in drag,y
7225585,why did eva peron die,n
7216641,what time ufc fight tonight,n
3546646,how to train arms,b
7212071,what is a zodiac sign?,y
8744588,what happened in 1902,y
2010654,how to stop insects eating plant leaves,y
5690521,why are abstract classes used,y
2619391,why do i get headaches when i masterbate,y
8142754,how to check right to work in uk,n
2008426,how to open pepper grinder to refill,n
1073928,what is forensic genealogy,y
4146516,what should i do ビジネス,b
6608892,how to do a scraecrow on a trampoline wakeboarding,n
5081241,how to stop oil leak,y
8142618,how to change windows 10 log in password,y
4143705,what is market equilibrium in economics,y
293804,does term insurance comes under 80c,b
4149426,when was original columbian cutlery company established,b
5067683,how do i get copy of my car title in maryland?,b
8758942,why are donkey and elephants party images,b
7967527,does jocko willink drink,b
2011721,how to use po and opo,b
7209176,what causes your tongue to be white,y
8151212,how to use cell phone as a webcam,y
7226126,why does god love us so much,y
5082684,how to write project in lubricant additives,b
5079204,how to play cubecraft on tlauncher,n
8744769,what happens if soap gets in your mouth,y
8742334,what are the rules for installing a gas appliance?,b
5683377,when calls the heart 9 temporada,b
7211677,what is a j-code for medical,y
5076296,how to get a covid test in spain,b
2618805,why amt do not include my long term losses,b
3545295,how to restore thymus function,b
8750584,what tools did plague doctors use,b
5687680,which province has the highest vaccination rate,b
3543859,how to not show notes in powerpoint on zoom,y
6607751,how to clean or disinfect cauliflower | wash vegetables,b
476430,how to reverse park,n
5075149,how to display formula bar,b
5686668,which dream smp member is your sibling,b
5691261,why do rechargeable batteries lose charge,y
2602024,what are the ages of people dying from covid,b
8137112,how do you get all your tabs back,y
474632,how to make service pr in sap,b
2005621,how to get a photo to fit in a locket,y
8141052,how old was st paul when he was converted,y
5079082,how to pair a ps4 controller to pc,n
1827785,does voltaren work,y
6615977,how to use amazon credit reward,y
1827606,does rice contain sugar,y
8147782,how to measure toe in and toe out,y
7212109,what is affordable health care act,y
468485,how to add a shared mailbox in outlook,y
2010523,how to start a bank account at 16,y
6607536,how to check if you can vote,n
2602730,what color brings out blue eyes,y
1075301,what is the antibody treatment,b
7215795,what kind of house can a dentist afford,b
4143121,what is employees,y
5080881,how to setup new windows 10 pro computer,n
6602006,how do you feel after dry needling,y
1077129,what ship came to the titanic rescue,y
5078164,how to make a zip file hp,b
8149864,how to set up a vive vr headset,n
5684407,when was sticky tape invented,y
5074737,how to create new icloud account,y
7227213,why won't omegle use my camera,b
8151875,how water intensive is cotton,b
474326,how to make caramel with sugar,n
1073555,what is compulsory voting,b
3544180,how to play bloody valentine,n
4155741,why did leah and jason break up,y
3542204,how to improve translation quality,b
1086001,why 1961 ford engine 170 dies at 50 mph,b
6614258,how to reverse a string in excel,b
1827257,does gac have plans to make mysteries,b
